Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
361,0.361,115.8636912,100.0829657,125.4521449,100.115498,,1,0
362,0.362,128.0131263,100.4032093,123.538781,100.2365827,,0,1
363,0.363,119.7741987,99.90084915,114.8837926,99.70737313,,0,1
364,0.364,116.5420344,99.80973519,114.9697052,99.71550787,,0,1
365,0.365,124.2777575,99.87359839,120.9913377,99.85432961,,0,1
366,0.366,118.4629995,99.92158955,115.88953,99.86075497,,0,1
367,0.367,109.1077133,99.50077307,114.807697,99.70625877,,1,0
368,0.368,123.6078319,100.3668529,120.9432552,100.2847962,,0,1
369,0.369,112.8627567,99.67518568,111.8257489,99.58362735,,0,1
370,0.37,121.7697381,100.1140619,123.6537364,100.1148184,,1,0
371,0.371,118.8399981,99.84570503,119.361395,99.90337482,,1,0
372,0.372,115.3253328,100.0070387,115.4648871,100.0043858,,0,1
373,0.373,125.5262768,100.385718,121.0512332,100.2586839,,0,1
374,0.374,118.4760754,100.1873296,115.2888931,100.0641487,,0,1
375,0.375,122.7874868,100.0078783,116.5860238,99.81639541,,0,1
376,0.376,130.7133889,100.4608305,129.6422427,100.4043995,,0,1
377,0.377,117.8804126,99.86353789,121.895992,100.157955,,1,0
378,0.378,119.0082723,99.92232422,120.8255062,99.99135783,,1,0
379,0.379,115.1550991,99.7347137,122.7948149,99.99129232,,1,0
380,0.38,116.2786777,99.80106175,117.5361588,99.65411744,,0,1
381,0.381,115.469983,100.0367006,118.8395985,100.0768243,,1,0
382,0.382,126.6809163,100.4079551,126.6656229,100.3976532,,0,1
383,0.383,115.4707775,100.0045859,115.9263304,100.0240168,,1,0
384,0.384,122.9032771,100.1212892,119.0645667,99.98433063,,0,1
385,0.385,115.5390987,100.0436475,113.4570423,99.77475532,,0,1
386,0.386,120.0674273,99.87633801,124.3633833,99.98726418,,1,0
387,0.387,109.8722391,99.40423158,111.7822434,99.51477968,,1,0
388,0.388,120.9019049,99.79327021,118.8197058,99.7471976,,0,1
